,N a m a   d a l a m   b a h a s a   I n d o n e s i a,N a m a   d a l a m   b a h a s a   r e s m i,K e t e r a n g a n
172,Singapura – Republik Singapura,Inggris: Singapore – Republic of Singapore Mandarin: 新加坡 – 新加坡共和国 → Xīnjiāpō – Xīnjiāpō Gònghéguó Melayu: Singapura – Republik Singapura Tamil: சிங்கப்பூர் – சிங்கப்பூர் குடியரசு → Ciṅkappūr – Ciṅkappūr Kuṭiyaracu,
173,Siprus – Republik Siprus[19],Yunani: Κύπρος – Κυπριακή Δημοκρατία → Kýpros – Kypriakí Dimokratía Turki: Kıbrıs – Kıbrıs Cumhuriyeti,
174,Slovenia – Republik Slovenia,Slovenia: Slovenija – Republika Slovenija,
175,Slowakia – Republik Slowakia,Slowakia: Slovensko – Slovenská republika,
176,Solomon – Kepulauan Solomon,Inggris: Solomon Islands,
177,Somalia–Republik Federal Somalia,Somalia: Soomaaliya – Jamhuuriyadda Federaalka Soomaaliya Arab: جمهورية الصومال الفدرالية – الصومال → Aṣ-Ṣūmāl – Jumhūrīyat aṣ-Ṣūmāl al-Fidirālīyah,
178,Spanyol – Kerajaan Spanyol,Spanyol: España – Reino de España,
179,Sri Lanka – Republik Sosialis Demokratis Sri Lanka,Sinhala: ශ්‍රී ලංකා – ශ්‍රී ලංකා ප්‍රජාතාන්ත්‍රික සමාජවාදී ජනරජය → Shrī Laṁkā – Shrī Laṁkā Prajātāntrika Samājavādī Janarajaya Tamil: இலங்கை – இலங்கை ஜனநாயக சோசலிச குடியரசு → Ilaṅkai – Ilaṅkai Jaṉanāyaka Sōsalisa Kuṭiyarasu,
180,Sudan – Republik Sudan,Arab: جمهورية السودان – السودان → As-Sūdān – Jumhūrīyat as-Sūdān Inggris: Sudan – Republic of the Sudan,
181,Sudan Selatan – Republik Sudan Selatan,Inggris: South Sudan – Republic of South Sudan,
182,Suriah – Republik Arab Suriah,Arab: الجمهوريّة العربيّة السّوريّة – سورية → Sūrīyah – Al Jumhūrīyah al ‘Arabīyah as Sūrīyah,
183,Suriname – Republik Suriname,Belanda: Suriname – Republiek Suriname,
184,Swedia – Kerajaan Swedia,Swedia: Sverige – Konungariket Sverige,
185,Swiss – Konfederasi Swiss,Jerman: Schweiz – Schweizerische Eidgenossenschaft Prancis: Suisse – Confédération suisse Italia: Svizzera – Confederazione Svizzera Roman: Svizra – Confederaziun svizra Latin: Helvetia – Confoederatio Helvetica,
186,T,T,T
187,Tajikistan – Republik Tajikistan,Tajik: Тоҷикистон – Ҷумҳурии Тоҷикистон → Toçikiston – Jumhurii Tojikiston Rusia: Таджикистан – Республика Таджикистан → Tadzhikistan – Respublika Tadzhikistan,
188,Tanjung Verde – Republik Tanjung Verde,Portugis: Cabo Verde – República de Cabo Verde,
189,Tanzania – Republik Persatuan Tanzania,Swahili: Tanzania – Jamhuri ya Muungano wa Tanzania Inggris: Tanzania – United Republic of Tanzania,
190,Thailand – Kerajaan Thailand,Thai: ประเทศไทย – ราชอาณาจักรไทย → Prathet Thai – Ratcha-anachak Thai,
191,Timor Leste – Republik Demokratis Timor-Leste,Tetun: Timór-Leste – Repúblika Demokrátika Timór-Leste Portugis: Timor-Leste – República Democrática de Timor-Leste,
192,Tiongkok – Republik Rakyat Tiongkok[20][21],Mandarin: 中国 – 中华人民共和国 → Zhōnggúo – Zhōnghuá Rénmín Gònghéguó,"Tiongkok memiliki dua Daerah Administratif Khusus, yaitu:  Hong Kong – Daerah Administratif Khusus Hong Kong Kanton: 香港 – 香港特別行政區 → Hēunggóng – Hēunggóng Dahkbiht Hàhngjingkēui Inggris: Hong Kong – Hong Kong Special Administrative Region  Makau – Daerah Administratif Khusus Makau Kanton: 澳門 – 澳門特別行政區 → Oumún – Oumún Dahkbiht Hàhngjingkeūi Portugis: Macau – Região Administrativa Especial de Macau"
193,Togo – Republik Togo,Prancis: Togo – République togolaise,
194,Tonga – Kerajaan Tonga,Tonga: Tonga – Pule'anga Fakatu'i 'o Tonga Inggris: Tonga – Kingdom of Tonga,
195,Trinidad dan Tobago – Republik Trinidad dan Tobago,Inggris: Trinidad and Tobago – Republic of Trinidad and Tobago,
196,Tunisia – Republik Tunisia,Arab: الجمهورية التونسية – تونس → Tūnis – Al Jumhūrīyah at Tūnisīyah,
197,Turki – Republik Turki,Turki: Türkiye – Türkiye Cumhuriyeti,
198,Turkmenistan,Turkmen: Türkmenistan,
199,Tuvalu,Tuvalu dan Inggris: Tuvalu,
200,U,U,U
201,Uganda – Republik Uganda,Inggris: Uganda – Republic of Uganda Swahili: Uganda – Jamhuri ya Uganda,
202,Ukraina,Ukraina: Україна → Ukrayina,
203,Uni Emirat Arab,Arab: دولة الإمارات العربية المتحدة → Dawlat al-ʾImārāt al-ʿArabiyyah al-Muttaḥidah,
204,Uruguay – Republik Timur Uruguay,Spanyol: Uruguay – República Oriental del Uruguay,
205,Uzbekistan – Republik Uzbekistan,Uzbek: O'zbekiston – O'zbekiston Respublikasi,
206,V,V,V
207,Vanuatu – Republik Vanuatu,Bislama: Vanuatu – Ripablik blong Vanuatu Prancis: Vanuatu – République du Vanuatu Inggris: Vanuatu – Republic of Vanuatu,
208,Vatikan – Negara Kota Vatikan[1],Latin: Civitas Vaticana – Status Civitatis Vaticanæ Italia: Città del Vaticano – Stato della Città del Vaticano,
209,Venezuela – Republik Bolivar Venezuela,Spanyol: Venezuela – República Bolivariana de Venezuela,
210,Vietnam – Republik Sosialis Vietnam,Vietnam: Việt Nam – Cộng Hòa Xã Hội Chủ Nghĩa Việt Nam,
211,Y,Y,Y
212,Yaman – Republik Yaman,Arab: الجمهوريّة اليمنية – اليمن → Al Yaman – Al Jumhūrīyah al Yamanīyah,
213,Yordania – Kerajaan Hasyimiyah Yordania,Arab: المملكة الأردنّيّة الهاشميّة – الأردن → Al Urdun – Al Mamlakah al Urdunīyah al Hāshimīyah,
214,Yunani – Republik Hellenik,Yunani: Ελλάδα – Ελληνική Δημοκρατία → Elláda – Ellinikí Dimokratía,
215,Z,Z,Z
216,Zambia – Republik Zambia,Inggris: Zambia – Republic of Zambia,
217,Zimbabwe – Republik Zimbabwe,Inggris: Zimbabwe – Republic of Zimbabwe,
